expedient;identificador;descripcio_contracte;data_adj;estat_licitacio;organ_contractacio;CPV;valor_estimat;link;metode_cerca;time_download;downloaded_documents;error_download;comment;downloaded documents
(A02018349)-2019-0-042;2318048;Suministro de prótesis para Angiología y Cirugía Vascular;11/01/2019 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";2887709,52;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=zqiYLCo%2FD9Smq21uxhbaVQ%3D%3D;CPV: 33184000;195,93;19;;;0
(A02018349)-2019-0-013;2481222;Implantes para Oftalmología;28/12/2018 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";1598733,5;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=B5kZxRDT%2BF8SugstABGr5A%3D%3D;CPV: 33184000;67,13;9;;;0
(A02018349)-2019-0-020;2498061;Suministro de agujas, material para artroscopias de hombro, para artrodesis de pie y otro material diverso para osteosíntesis.;22/02/2019 0:00;Adjudicada;Gerencia Sector Sanitario de Zaragoza 3;"33140000;";2326961,34;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=3%2BBh%2F6xOOmOiEJrVRqloyA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;52,99;7;;;0
A/SUM-024297/2018;2689714;"Implantes para tratamiento de &nbsp;fracturas mediante osteosíntesis básica (pequeños fragmentos)";;Resuelta;Hospital Universitario de Móstoles;"33184100;";64414,0;https://contratos-publicos.comunidad.madrid/contrato-publico/implantes-tto-fracturas-osteosintesis-basica-pequenos-fragmentos;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;24,51;8;;;0
(A02006757)-PA-11-2019;2798198;Suministro de suturas mecánicas;17/04/2019 0:00;Resuelta;Centro de Gestion Integrada y Proyectos Corporativos;"33141121;";21647084,81;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YyzKdwxZ%2FTamq21uxhbaVQ%3D%3D;Proveïdor: A28218675;111,72;22;;;0
18-0146;2803805;Subministrament d'implants i pròtesis per cirurgia de peu i turmell;02/07/2019 0:00;Resuelta;Consorci Hospital Clínic de Barcelona (HCB);"33184100;";382332,7;https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=114190839&lawType=3;Proveïdor: A28218675;69,12;16;"Sense secció ""Exec""";;0
PA SUM 18-047;2856926;Suministro de placas de osteosíntesis para el servicio de traumatología del Hospital Universitario de Fuenlabrada;;Resuelta;Hospital Universitario de Fuenlabrada;"33184100;";1436708,4;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-placas-osteosintesis-servicio-traumatologia-hospital-universitario;CPV prefix 33:  | Keywords: osteosintesis, placas, Proveïdor: A28218675;27,34;9;;;0
39/2019;2923536;Acuerdo Marco para el suministro de suturas mecánicas;07/01/2020 0:00;Resuelta;Dirección General de Gestión Económica, Contratación e Infraestructuras de la Conselleria de Sanidad;"33141122;";32858014,08;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Nfb%2BCZjZn6gSugstABGr5A%3D%3D;Proveïdor: A28218675;67,17;9;;;0
CCA.+X5V-ZM;3531091;2019/149753. Acuerdo Marco de suministro de placas y tornillos de traumatología con cesión de uso de determinado equipamiento necesario para la utilización del material con destino a los Centros de la PLS de Córdoba.;04/02/2020 0:00;Resuelta;Servicio Andaluz de Salud;"33184000;";3125952,72;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000130333;CPV prefix 33:  | Keywords: placas, tornillos, CPV: 33184000, Proveïdor: A28218675;42,98;11;;;0
CCA. +6NRFWX;3577449;2019/156930.Acuerdo Marco de suministro de artículos para reconstrucción y regeneración tisular y cementos óseos y accesorios para implantar prótesis con cesión de uso de determinado equipamiento necesario para la utilización del material.;16/01/2020 0:00;Resuelta;Servicio Andaluz de Salud;"33141000;";1043795,39;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000130367;Proveïdor: A28218675;51,61;14;;;0
(A02018349)-2020-0-034;3782665;Electrocatéteres para estudios fisiológicos, ablaciones cardiacas y colocación de marcapasos;18/10/2019 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";634923,85;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Y75LcG%2FTOZVvYnTkQN0%2FZA%3D%3D;CPV: 33184000;50,84;5;;;0
CCA. +F+NVIZ;3825239;2019/202709. Suministro de diverso material de cirugía: trócares, grapadora y endograpadoras, para los centros vinculados  la Plataforma de Logística Sanitaria de Granada.;05/02/2020 0:00;Resuelta;Servicio Andaluz de Salud;"33141000;";2417478,32;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000155329;Proveïdor: A28218675;47,96;14;;;0
P.A. 2019-0-30;3871109;Suturas manuales;;Resuelta;Hospital Universitario La Paz;"33140000;";1819478,37;https://contratos-publicos.comunidad.madrid/contrato-publico/suturas-manuales-hu-paz;Proveïdor: A28218675;57,57;20;;;0
ICE PAPC 2019-1-29;3875240;Suministro de Implante Expansible, Prótesis de Disco y Gel Hemostático para el Hospital Universitario de Getafe;;Adjudicada;Hospital Universitario de Getafe;"33184100;";719647,79;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implante-expansible-protesis-disco-gel-hemostatico-hospital;Proveïdor: A28218675;35,52;12;;;0
(A02018349)-2019-0-043;3906012;Material necesario para la realización de cirugía retrógrada intrarrenal;07/10/2019 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";103680,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7JQybtM5ErYSugstABGr5A%3D%3D;CPV: 33184000;57,41;6;;;0
